record_name,start_idx,end_idx,r_peak_count
114,0,3600,9
114,3600,7200,9
114,7200,10800,9
114,10800,14400,9
114,14400,18000,9
114,18000,21600,9
114,21600,25200,9
114,25200,28800,9
114,28800,32400,9
114,32400,36000,10
114,36000,39600,9
114,39600,43200,9
114,43200,46800,9
114,46800,50400,9
114,50400,54000,9
114,54000,57600,9
114,57600,61200,9
114,61200,64800,9
114,64800,68400,9
114,68400,72000,9
114,72000,75600,9
114,75600,79200,9
114,79200,82800,9
114,82800,86400,9
114,86400,90000,9
114,90000,93600,9
114,93600,97200,9
114,97200,100800,9
114,100800,104400,9
114,104400,108000,9
114,108000,111600,9
114,111600,115200,10
114,115200,118800,9
114,118800,122400,10
114,122400,126000,9
114,126000,129600,10
114,129600,133200,9
114,133200,136800,10
114,136800,140400,9
114,140400,144000,9
114,144000,147600,10
114,147600,151200,8
114,151200,154800,9
114,154800,158400,9
114,158400,162000,9
114,162000,165600,8
114,165600,169200,9
114,169200,172800,9
114,172800,176400,9
114,176400,180000,8
114,180000,183600,9
114,183600,187200,9
114,187200,190800,10
114,190800,194400,9
114,194400,198000,9
114,198000,201600,9
114,201600,205200,10
114,205200,208800,9
114,208800,212400,10
114,212400,216000,10
114,216000,219600,10
114,219600,223200,11
114,223200,226800,11
114,226800,230400,10
114,230400,234000,10
114,234000,237600,10
114,237600,241200,10
114,241200,244800,10
114,244800,248400,9
114,248400,252000,10
114,252000,255600,12
114,255600,259200,9
114,259200,262800,9
114,262800,266400,10
114,266400,270000,9
114,270000,273600,10
114,273600,277200,10
114,277200,280800,10
114,280800,284400,10
114,284400,288000,10
114,288000,291600,10
114,291600,295200,10
114,295200,298800,10
114,298800,302400,10
114,302400,306000,9
114,306000,309600,9
114,309600,313200,10
114,313200,316800,10
114,316800,320400,10
114,320400,324000,10
114,324000,327600,11
114,327600,331200,10
114,331200,334800,10
114,334800,338400,10
114,338400,342000,11
114,342000,345600,10
114,345600,349200,10
114,349200,352800,10
114,352800,356400,10
114,356400,360000,10
114,360000,363600,11
114,363600,367200,10
114,367200,370800,11
114,370800,374400,10
114,374400,378000,10
114,378000,381600,11
114,381600,385200,10
114,385200,388800,10
114,388800,392400,10
114,392400,396000,10
114,396000,399600,11
114,399600,403200,10
114,403200,406800,10
114,406800,410400,11
114,410400,414000,11
114,414000,417600,10
114,417600,421200,11
114,421200,424800,11
114,424800,428400,10
114,428400,432000,10
114,432000,435600,11
114,435600,439200,11
114,439200,442800,10
